Id_Pelicula;Titulo_original;Fecha_estreno;Descripcion;Cartel_path;Genero_Pelicula
62;Finding Nemo;30/05/2003;Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.;/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg;Animation, Family
63;It;06/09/2017;In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.;/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg;Horror, Fantasy
64;John Wick;22/10/2014;Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.;/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg;Action, Thriller
65;Fantastic Beasts and Where to Find Them;16/11/2016;In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.;/h6NYfVUyM6CDURtZSnBpz647Ldd.jpg;Fantasy, Adventure, Family
66;Harry Potter and the Deathly Hallows: Part 1;17/11/2010;Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.;/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg;Adventure, Fantasy
68;Captain America: The Winter Soldier;20/03/2014;After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemyâ€”the Winter Soldier.;/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg;Action, Adventure, Science Fiction
69;Spider-Man;01/05/2002;After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.;/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg;Fantasy, Action
70;WALLÂ·E;22/06/2008;What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALLâ€¢E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALLâ€¢E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALLâ€¢E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.;/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg;Animation, Family, Science Fiction
71;Gone Girl;01/10/2014;With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.;/qymaJhucquUwjpb8oiqynMeXnID.jpg;Mystery, Thriller, Drama
72;The Hobbit: An Unexpected Journey;12/12/2012;Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.;/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg;Adventure, Fantasy, Action
73;Monsters, Inc.;01/11/2001;Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.;/sgheSKxZkttIe8ONsf2sWXPgip3.jpg;Animation, Comedy, Family
74;Toy Story;30/10/1995;Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.;/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg;Animation, Adventure, Family, Comedy
75;The Revenant;25/12/2015;In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.;/ji3ecJphATlVgWNY0B0RVXZizdf.jpg;Western, Drama, Adventure
76;Batman v Superman: Dawn of Justice;23/03/2016;Fearing the actions of a god-like Super Hero left unchecked, Gotham Cityâ€™s own formidable, forceful vigilante takes on Metropolisâ€™s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than itâ€™s ever known before.;/5UsK3grJvtQrtzEgqNlDljJW96w.jpg;Action, Adventure, Fantasy
77;The Lion King;24/06/1994;A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?;/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg;Family, Animation, Drama
78;Gladiator;04/05/2000;In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.;/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg;Action, Drama, Adventure
79;The Truman Show;04/06/1998;Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend, is really an actor, paid to be part of his life.;/vuza0WqY239yBXOadKlGwJsZJFE.jpg;Comedy, Drama
80;The Incredibles;27/10/2004;Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.;/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg;Action, Adventure, Animation, Family
81;Arrival;10/11/2016;Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.;/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg;Drama, Science Fiction, Mystery
82;Parasite;30/05/2019;All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.;/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg;Comedy, Thriller, Drama
